symbol,market_cap_cr,current_price,pe_ratio,book_value,roce_pct,roe_pct,dividend_yield_pct,promoter_holding_pct,revenue_growth_3yr_pct,profit_growth_3yr_pct,latest_year_ocf_cr,debt_to_equity,as_of_quarter
BRIGADE,,565.0,28.2,209.0,10.5,10.5,0.35,41.1,35.0,8.0,-137.0,0.93,Jun 2026
BRITANNIA,,5524.0,52.6,212.0,56.0,53.5,1.64,50.55,8.0,5.0,2612.0,0.27,Jun 2026
MAPMYINDIA,,1185.0,63.0,165.0,19.1,12.0,0.3,51.41,2.0,-8.0,93.0,0.01,Jun 2026
CCL,,1174.0,36.2,176.0,15.8,18.0,0.43,46.14,11.0,24.0,858.0,0.56,Jun 2026
CESC,,165.0,14.2,94.5,10.6,12.6,3.64,52.11,6.0,28.0,4057.0,1.73,Jun 2026
CGPOWER,,833.0,103.0,50.6,26.7,20.5,0.16,56.36,10.0,27.0,702.0,0.01,Jun 2026
CIEINDIA,,412.0,17.4,204.0,14.7,11.8,1.7,65.7,127.0,-7.0,1258.0,0.07,Jun 2026
CRISIL,,4407.0,36.4,447.0,32.6,24.5,0.57,66.64,7.0,4.0,756.0,0.1,Jun 2026
CANFINHOME,,,,,,,,29.99,,,,,Jun 2026
CANBK,,124.0,5.68,136.0,6.52,16.1,3.38,62.93,18.0,22.0,7942.0,,Jun 2026
CANHLIFE,,,,,,,,62.0,,,,,Jun 2026
CAPLIPOINT,,2536.0,30.1,472.0,24.6,20.6,0.24,70.57,20.0,41.0,523.0,0.0,Jun 2026
CGCL,,221.0,18.8,74.9,11.7,16.5,0.09,59.92,67.0,4.0,-8728.0,,Jun 2026
CARBORUNIV,,1051.0,77.7,205.0,10.5,6.92,0.38,38.9,-14.0,-5.0,367.0,0.11,Jun 2026
CARTRADE,,2792.0,56.2,519.0,11.8,9.69,0.0,,89.0,77.0,257.0,0.06,Jun 2026
CASTROLIND,,,,,,,,51.0,,,,,Jun 2026
CEATLTD,,3464.0,22.0,1247.0,19.2,16.1,1.01,47.29,54.0,12.0,1786.0,0.65,Jun 2026
CEMPRO,,1359.0,38.7,140.0,32.8,27.8,0.22,67.46,68.0,94.0,500.0,0.42,Jun 2026
CENTRALBK,,31.0,6.15,45.2,5.64,11.9,3.87,81.19,39.0,1.0,2804.0,,Jun 2026
CDSL,,1336.0,61.2,93.8,32.0,24.5,0.95,15.0,18.0,30.0,467.0,0.0,Jun 2026
CHALET,,805.0,32.9,169.0,17.1,19.2,0.12,67.29,60.0,18.0,1067.0,0.64,Jun 2026
CHAMBLFERT,,446.0,9.26,260.0,25.5,20.4,2.47,61.34,25.0,17.0,138.0,0.1,Jun 2026
CHENNPETRO,,1238.0,4.42,746.0,35.1,32.1,5.01,67.29,-4.0,45.0,2945.0,0.18,Jun 2026
CHOICEIN,,799.0,81.7,75.0,18.0,16.1,0.0,53.66,54.0,65.0,-267.0,0.54,Jun 2026
CHOLAHLDNG,,1503.0,11.6,823.0,9.75,17.5,0.09,46.44,24.0,16.0,-30033.0,,Jun 2026
CHOLAFIN,,1774.0,26.3,357.0,9.71,19.4,0.11,49.23,25.0,16.0,-30021.0,,Jun 2026
CIPLA,,1466.0,33.1,426.0,15.5,11.6,0.89,29.22,10.0,8.0,3940.0,0.02,Jun 2026
CUB,,,,,,,,,,,,,Jun 2026
CLEAN,,729.0,33.8,149.0,20.6,15.3,0.82,51.29,-8.0,-18.0,275.0,0.0,Jun 2026
COALINDIA,,417.0,8.24,193.0,35.3,28.5,5.09,61.13,-1.0,22.0,43215.0,0.12,Jun 2026
COCHINSHIP,,1402.0,51.5,223.0,16.0,12.5,0.7,67.91,40.0,61.0,-1234.0,0.28,Jun 2026
COFORGE,,1747.0,40.3,284.0,23.5,20.6,0.69,,31.0,23.0,1792.0,0.08,Jun 2026
COHANCE,,425.0,82.4,102.0,8.35,7.04,0.0,57.49,-21.0,-5.0,368.0,0.1,Jun 2026
COLPAL,,2085.0,131.0,12.1,179.0,158.0,2.45,51.0,33.0,1.0,404.0,0.02,Jun 2026
CAMS,,793.0,44.5,53.3,47.0,36.3,1.58,0.0,17.0,19.0,584.0,0.05,Jun 2026
CONCORDBIO,,1330.0,58.3,193.0,17.1,12.5,0.57,44.08,0.0,,267.0,0.0,Jun 2026
CONCOR,,525.0,32.2,170.0,12.4,9.81,1.45,54.8,2.0,-2.0,1482.0,0.07,Jun 2026
COROMANDEL,,2054.0,32.5,426.0,22.0,16.4,0.54,56.35,-1.0,26.0,1558.0,0.12,Jun 2026
CRAFTSMAN,,10047.0,56.1,1368.0,13.9,12.5,0.11,42.41,16.0,29.0,522.0,1.11,Jun 2026
CREDITACC,,1614.0,21.4,490.0,9.98,10.5,0.0,66.21,-2.0,3.0,-2770.0,,Jun 2026
CROMPTON,,260.0,49.9,46.1,18.1,10.6,1.15,,-10.0,-4.0,723.0,0.07,Jun 2026
CUMMINSIND,,5396.0,61.7,306.0,39.5,30.2,1.22,51.0,26.0,40.0,1734.0,0.0,Jun 2026
CYIENT,,848.0,23.1,511.0,12.3,8.61,3.07,24.7,-5.0,-17.0,787.0,0.08,Jul 2026
DCMSHRIRAM,,1056.0,12.0,495.0,11.5,11.5,1.06,66.53,-1.0,8.0,1234.0,0.38,Jun 2026
DLF,,655.0,38.8,184.0,6.32,9.5,1.22,74.08,27.0,8.0,6347.0,0.01,Jun 2026
DOMS,,2255.0,59.5,201.0,24.3,20.7,0.14,63.38,34.0,,254.0,0.12,Jun 2026
DABUR,,426.0,38.1,64.4,20.3,17.0,1.94,66.24,4.0,-10.0,2579.0,0.11,Jun 2026
DALBHARAT,,1794.0,30.6,959.0,7.59,6.11,0.5,55.84,-1.0,-3.0,2278.0,0.41,Jun 2026
DATAPATTNS,,,,,,,,42.41,,,,,Jun 2026
DEEPAKFERT,,1532.0,19.7,542.0,11.6,11.3,0.65,45.63,-15.0,41.0,206.0,0.83,Jun 2026
DEEPAKNTR,,1644.0,40.7,428.0,11.4,9.82,0.46,49.34,-13.0,-6.0,539.0,0.28,Jun 2026
DELHIVERY,,468.0,197.0,129.0,2.82,1.87,0.0,,30.0,5.0,911.0,0.15,Jun 2026
DEVYANI,,119.0,,12.5,4.75,-1.56,0.0,61.37,,-15.0,927.0,2.49,Jun 2026
DIVISLAB,,7835.0,79.2,631.0,22.0,16.5,0.38,51.88,13.0,29.0,2738.0,0.0,Jun 2026
DIXON,,14338.0,60.9,769.0,42.0,37.4,0.06,28.55,77.0,52.0,1782.0,0.21,Jun 2026
LALPATHLAB,,1879.0,56.0,150.0,28.0,22.3,0.75,53.19,30.0,17.0,636.0,0.08,Jun 2026
DRREDDY,,1145.0,29.6,454.0,13.0,11.2,0.7,26.63,-4.0,0.0,5674.0,0.2,Jun 2026
EIDPARRY,,763.0,20.8,493.0,17.0,7.85,0.0,41.28,-11.0,15.0,1542.0,0.4,Jun 2026
EIHOTEL,,332.0,29.1,84.2,20.7,14.5,0.45,32.85,25.0,16.0,993.0,0.05,Jun 2026
EICHERMOT,,7912.0,37.3,915.0,30.5,24.0,1.04,49.03,24.0,33.0,4805.0,0.02,Jun 2026
ELECON,,417.0,31.0,103.0,20.9,16.4,0.48,59.28,14.0,3.0,314.0,0.12,Jun 2026
ELGIEQUIP,,569.0,46.3,70.4,22.1,19.0,0.47,31.19,11.0,2.0,454.0,0.24,Jun 2026
EMAMILTD,,403.0,22.4,67.0,29.6,27.9,2.48,54.84,8.0,-4.0,801.0,0.06,Jun 2026
EMCURE,,1911.0,38.3,261.0,24.0,20.1,0.16,77.83,21.0,,944.0,0.31,Jun 2026
EMMVEE,,307.0,16.7,53.4,44.8,51.1,0.0,80.03,395.0,,200.0,0.1,Jun 2026
ENDURANCE,,2804.0,42.3,486.0,17.8,14.9,0.41,75.0,26.0,18.0,1851.0,0.19,Jun 2026
ENGINERSIN,,222.0,18.0,56.0,30.6,23.8,1.8,51.32,26.0,12.0,319.0,0.01,Jun 2026
ERIS,,1375.0,29.0,282.0,14.1,18.7,0.53,54.14,19.0,20.0,538.0,0.6,Jun 2026
ESCORTS,,3014.0,15.8,1106.0,13.9,18.7,1.1,68.04,47.0,6.0,1381.0,0.01,Jun 2026
ETERNAL,,311.0,693.0,32.1,2.97,1.19,0.0,,33.0,55.0,632.0,0.15,Jun 2026
EXIDEIND,,453.0,41.0,164.0,8.54,5.97,0.44,45.99,2.0,22.0,2413.0,0.11,Jun 2026
NYKAA,,334.0,457.0,5.02,17.2,15.3,0.0,52.07,122.0,32.0,644.0,0.86,Jun 2026
FEDERALBNK,,354.0,18.7,162.0,6.39,11.6,0.34,,11.0,38.0,4349.0,,Jun 2026
FACT,,815.0,3567.0,21.2,8.65,1.61,0.02,90.0,-63.0,20.0,140.0,2.79,Jun 2026
FINCABLES,,973.0,20.8,398.0,16.0,12.3,0.82,35.86,12.0,-3.0,49.0,0.0,Jun 2026
FSL,,300.0,28.3,62.0,16.8,17.6,1.84,53.66,14.0,28.0,1214.0,0.67,Jun 2026
FIVESTAR,,553.0,104.0,,17.0,16.0,0.36,18.61,125.0,-9.0,-951.0,,Jun 2026
FORCEMOT,,17618.0,21.1,3183.0,36.1,29.2,0.23,61.63,221.0,90.0,1297.0,0.0,Jun 2026
FORTIS,,949.0,67.7,131.0,13.4,11.2,0.11,31.17,27.0,40.0,1601.0,0.35,Jun 2026
GAIL,,174.0,15.0,135.0,9.68,8.71,4.32,51.79,10.0,13.0,11249.0,0.28,Jun 2026
GVT&D,,4202.0,576.0,41.9,,18.6,0.24,51.0,,155.0,108.0,0.89,Jun 2026
GMRAIRPORT,,104.0,528.0,-2.35,11.6,,0.0,67.16,43.0,26.0,4884.0,-17.45,Jun 2026
GABRIEL,,1392.0,55.5,95.3,25.6,20.2,0.34,63.55,,84.0,345.0,0.11,Jun 2026
GALLANTT,,585.0,32.2,137.0,18.2,15.7,0.21,70.03,51.0,85.0,602.0,0.17,Jun 2026
GRSE,,,,,,,,74.5,,,,,Jun 2026
GICRE,,357.0,6.48,402.0,17.4,14.6,2.8,77.4,12.0,20.0,466.0,-0.0,Jun 2026
GILLETTE,,,,,,,,75.0,,,,,Jun 2026
GLAND,,2517.0,39.8,629.0,15.1,10.7,0.79,51.77,8.0,24.0,1031.0,0.03,Jun 2026
GLAXO,,2611.0,46.0,134.0,61.4,45.6,2.18,75.0,18.0,23.0,903.0,0.01,Jun 2026
GLENMARK,,2190.0,20.9,372.0,39.8,30.5,0.11,46.65,76.0,41.0,3445.0,0.06,Jun 2026
MEDANTA,,1416.0,66.5,147.0,17.1,15.2,0.04,33.0,20.0,26.0,714.0,0.3,Jun 2026
GODIGIT,,,,,,,,73.0,,,,,Jun 2026
GPIL,,249.0,20.6,86.5,20.4,15.2,0.4,63.18,0.0,30.0,1157.0,0.08,Jun 2026
GODFRYPHLP,,2132.0,24.3,398.0,32.8,26.6,2.35,72.58,37.0,44.0,518.0,0.04,Jun 2026
GODREJCP,,1072.0,55.4,124.0,18.8,16.1,1.87,53.06,5.0,1.0,2488.0,0.35,Jun 2026
GODREJIND,,1309.0,44.6,332.0,8.17,9.26,0.0,74.64,5.0,40.0,-8855.0,4.61,Jun 2026
GODREJPROP,,2111.0,39.5,636.0,7.63,8.82,0.47,51.66,49.0,7.0,-2003.0,0.83,Jun 2026
